Title,Processor,Ram,OS,Storage,Display,Warranty,Discount Price,Original Price,Delivery,Note,Offer,Reviews
SAMSUNG Galaxy Book4 Intel Core 5 120U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGK-LS2IN Thin and Li...,Intel Core 5 Processor,16 GB LPDDR4X RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories,"?75,990","?91,989",Free delivery,Lowest price since launch,"Upto ?28,000 Off on Exchange",4.435 Ratings & 6 Reviews
HP Chromebook (2024) MediaTek MT8183 - (4 GB/32 GB EMMC Storage/Chrome OS) 11MK G9 Chromebook,MediaTek MT8183 Processor,4 GB LPDDR4X RAM,Chrome Operating System,29.46 cm (11.6 Inch) Display,1 Year Carry-in Warranty,,"?10,990","?34,554",Free delivery,EOSS Special Deal,Only few left,"3.83,993 Ratings & 426 Reviews"
Lenovo IdeaPad Slim 5 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home) 14IRL8 Thin a...,Intel Core i5 Processor (13th Gen),16 GB LPDDR5 RAM,Windows 11 Operating System,512 GB SSD,35.56 cm (14 Inch) Display,Microsoft Office Home & Student 2021,"?66,990","?91,790",Free delivery,Save extra with combo offers,Only 1 left,4.2111 Ratings & 15 Reviews
Lenovo IdeaPad Flex 5 AMD Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 11 Home) 14ALC7 2 in 1 L...,AMD Ryzen 7 Octa Core Processor,16 GB LPDDR4X RAM,64 bit Windows 11 Operating System,512 GB SSD,35.56 cm (14 Inch) Touchscreen Display,1 Year Onsite Warranty + 1 Year Premium Care + 1 Year Accidental Damage Protection,"?64,990","?89,490",Free delivery,Save extra with combo offers,Only few left,4.340 Ratings & 2 Reviews
Infinix Y1 Plus Neo (2023) Intel Celeron Quad Core 11th Gen N5100 - (4 GB/128 GB SSD/Windows 11 Home) ...,Intel Celeron Quad Core Processor (11th Gen),4 GB LPDDR4X RAM,Windows 11 Operating System,128 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,"?19,990","?29,990",Free delivery,Save extra with combo offers,"Upto ?12,500 Off on Exchange","41,444 Ratings & 203 Reviews"
ASUS Vivobook Go 15 Intel Celeron Dual Core N4020 - (4 GB/256 GB SSD/Windows 11 Home) E510MA-EJ001W Th...,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,Windows 11 Operating System,256 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,"?19,990","?33,990",Free delivery,Lowest Price in 30 days,"Upto ?12,500 Off on Exchange","41,816 Ratings & 186 Reviews"
Ultimus Intel Celeron Dual Core - (4 GB/128 GB EMMC Storage/Windows 11 Home) NU14U5INC43BN-SG Thin and...,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,Windows 11 Operating System,35.56 cm (14 Inch) Display,1 Year Onsite warranty,,"?12,649","?24,990",Free delivery,Only few left,Bank Offer,3.98 Ratings & 1 Reviews
Acer Intel Celeron Dual Core N4500 - (8 GB/128 GB EMMC Storage/Chrome OS) CB314-3H-C5QE Chromebook,Intel Celeron Dual Core Processor,8 GB LPDDR4X RAM,Chrome Operating System,35.56 cm (14 inch) Display,1 Year Onsite Warranty,,"?16,990","?33,999",Free delivery,EOSS Special Deal,"Upto ?10,000 Off on Exchange",3.8159 Ratings & 12 Reviews
ASUS TUF Gaming F17 - AI Powered Gaming Intel Core i5 11th Gen 11400H - (8 GB/512 GB SSD/Windows 11 Ho...,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,43.94 cm (17.3 Inch) Display,1 Year Onsite Warranty,"?53,990","?77,990",Free delivery,EOSS Special Deal,"Upto ?28,000 Off on Exchange","4.34,723 Ratings & 459 Reviews"
DELL AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) Vostro 3525 Laptop,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Hardware Service,"?37,990","?49,477",Free delivery,Only few left,Bank Offer,4.116 Ratings & 1 Reviews
Lenovo AMD Ryzen 3 Octa Core - (8 GB/512 GB SSD/Windows 11 Home) G4 82YTA00XIN Laptop,AMD Ryzen 3 Octa Core Processor,8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,35.56 cm (14 inch) Display,12 MONTHS,"?28,990","?65,677",Free delivery,Only few left,Bank Offer,4.421 Ratings & 6 Reviews
Lenovo AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) V15 Thin and Light Laptop,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,"?36,990","?69,525",Free delivery,Only few left,Bank Offer,4.2144 Ratings & 14 Reviews
MSI Katana 17 Intel Core i7 13th Gen 13620H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,Intel Core i7 Processor (13th Gen),16 GB DDR5 RAM,Windows 11 Operating System,1 TB SSD,43.94 cm (17.3 Inch) Display,2 Year Carry-in Warranty,"?1,04,990","?1,55,990",Free delivery,Save extra with combo offers,Only 4 left,4.723 Ratings & 8 Reviews
Lenovo IdeaPad Slim 1 Intel Celeron Dual Core N4020 - (8 GB/256 GB SSD/Windows 11 Home) 14IGL7 Thin an...,Intel Celeron Dual Core Processor,8 GB DDR4 RAM,Windows 11 Operating System,256 GB SSD,35.56 cm (14 Inch) Display,1 Year Onsite?Warranty?+ 1 Yr ADP,"?22,500","?37,690",Free delivery,Lowest Price in 30 days,"Upto ?13,500 Off on Exchange",4563 Ratings & 38 Reviews
DELL Inspiron Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home/2 GB Graphics) Inspiron...,Processor: Intel i7-1255U (Base- 3.50 GHz & Turbo up to 4.70 GHz) 10 Cores,RAM & Storage: 16GB DDR4 & 512GB SSD,Graphics & Keyboard: NVIDIAGeForceMX550 (2GB GDDR6) + Fingerprint Reader,"Display: 14.0"" FHD+ WVA Truelife Touch Narrow Border 250 nits, Dell Active Pen",Intel Core i7 Processor (12th Gen),16 GB DDR4 RAM,"?84,990","?1,29,890",Free delivery,EOSS Special Deal,Only few left,4.238 Ratings & 2 Reviews
Apple 2020 Macbook Air Apple M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGND3HN/A,Apple M1 Processor,8 GB DDR4 RAM,Mac OS Operating System,256 GB SSD,33.78 cm (13.3 inch) Display,"Built-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player","?71,990","?99,900",Free delivery,EOSS Special Deal,"Upto ?33,000 Off on Exchange","4.715,082 Ratings & 1,233 Reviews"
AXL Intel Celeron Dual Core 9th Gen - (4 GB/256 GB SSD/Windows 11 Home) 15W_LAP02 Thin and Light Lapto...,Intel Celeron Dual Core Processor (9th Gen),4 GB DDR4 RAM,Windows 11 Operating System,256 GB SSD,39.62 cm (15.6 inch) Display,1 Year,"?17,036","?33,990",Free delivery,Bank Offer,,436 Ratings & 4 Reviews
Lenovo IdeaPad Slim 1 Intel Celeron Dual Core N4020 - (8 GB/256 GB SSD/Windows 11 Home) 14IGL7 Thin an...,Intel Celeron Dual Core Processor,8 GB DDR4 RAM,Windows 11 Operating System,256 GB SSD,35.56 cm (14 Inch) Display,1 Year Onsite?Warranty?+ 1 Yr ADP,"?22,500","?37,690",Free delivery,Lowest Price in 30 days,"Upto ?13,500 Off on Exchange",4563 Ratings & 38 Reviews
ASUS Vivobook 15 AMD Ryzen 7 Octa Core 5800HS - (16 GB/512 GB SSD/Windows 11 Home) M1502QA-EJ742WS Thi...,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,"?49,990","?82,990",Free delivery,Lowest Price in 30 days,"Upto ?28,000 Off on Exchange","4.21,426 Ratings & 111 Reviews"
